operator,tail_number,aircraft_type,category,engines,cargo_pax,seats,base_icao,crew,cruise_kts,range_nm,max_payload_lbs,mtow_lbs,fet_status,door_type,door_w_in,door_h_in,cabin_l_ft,cabin_w_ft,cabin_h_ft,cabin_vol_cuft,trips_logged,avg_op_per_nm_circuit,med_assumed_op_per_nm,est_op_per_hr,liability_limit,hull_value,notes,spec_source
Ameriflight,N49UC,Beech 1900,Turboprop,Multi Turboprop,Cargo,,,,270,1200,5500,16600,FET applies,Airstair + cargo door,52,58,25.3,4.5,5.9,470,,,,,,,,published typical config — verify per tail
Ameriflight,N111YV,Beech 1900,Turboprop,Multi Turboprop,Cargo,,,,270,1200,5500,16600,FET applies,Airstair + cargo door,52,58,25.3,4.5,5.9,470,,,,,,,,published typical config — verify per tail
Ameriflight,N112YV,Beech 1900,Turboprop,Multi Turboprop,Cargo,,,,270,1200,5500,16600,FET applies,Airstair + cargo door,52,58,25.3,4.5,5.9,470,,,,,,,,published typical config — verify per tail
Ameriflight,N330AF,Beech 1900,Turboprop,Multi Turboprop,Cargo,,,,270,1200,5500,16600,FET applies,Airstair + cargo door,52,58,25.3,4.5,5.9,470,,,,,,,,published typical config — verify per tail
Ameriflight,N331AF,Beech 1900,Turboprop,Multi Turboprop,Cargo,,,,270,1200,5500,16600,FET applies,Airstair + cargo door,52,58,25.3,4.5,5.9,470,,,,,,,,published typical config — verify per tail
Ameriflight,N338AF,Beech 1900,Turboprop,Multi Turboprop,Cargo,,,,270,1200,5500,16600,FET applies,Airstair + cargo door,52,58,25.3,4.5,5.9,470,,,,,,,,published typical config — verify per tail
Ameriflight,N346AF,Beech 1900,Turboprop,Multi Turboprop,Cargo,,,,270,1200,5500,16600,FET applies,Airstair + cargo door,52,58,25.3,4.5,5.9,470,,,,,,,,published typical config — verify per tail
Ameriflight,N347AF,Beech 1900,Turboprop,Multi Turboprop,Cargo,,,,270,1200,5500,16600,FET applies,Airstair + cargo door,52,58,25.3,4.5,5.9,470,,,,,,,,published typical config — verify per tail
Ameriflight,N575G,Beech 1900,Turboprop,Multi Turboprop,Cargo,,,,270,1200,5500,16600,FET applies,Airstair + cargo door,52,58,25.3,4.5,5.9,470,,,,,,,,published typical config — verify per tail
Ameriflight,N718AF,Beech 1900,Turboprop,Multi Turboprop,Cargo,,,,270,1200,5500,16600,FET applies,Airstair + cargo door,52,58,25.3,4.5,5.9,470,,,,,,,,published typical config — verify per tail
Ameriflight,N1568G,Beech 1900,Turboprop,Multi Turboprop,Cargo,,,,270,1200,5500,16600,FET applies,Airstair + cargo door,52,58,25.3,4.5,5.9,470,,,,,,,,published typical config — verify per tail
Ameriflight,N2049K,Beech 1900,Turboprop,Multi Turboprop,Cargo,,,,270,1200,5500,16600,FET applies,Airstair + cargo door,52,58,25.3,4.5,5.9,470,,,,,,,,published typical config — verify per tail
Ameriflight,N3052K,Beech 1900,Turboprop,Multi Turboprop,Cargo,,,,270,1200,5500,16600,FET applies,Airstair + cargo door,52,58,25.3,4.5,5.9,470,,,,,,,,published typical config — verify per tail
Ameriflight,N3071A,Beech 1900,Turboprop,Multi Turboprop,Cargo,,,,270,1200,5500,16600,FET applies,Airstair + cargo door,52,58,25.3,4.5,5.9,470,,,,,,,,published typical config — verify per tail
Ameriflight,N3229A,Beech 1900,Turboprop,Multi Turboprop,Cargo,,,,270,1200,5500,16600,FET applies,Airstair + cargo door,52,58,25.3,4.5,5.9,470,,,,,,,,published typical config — verify per tail
Ameriflight,N7203C,Beech 1900,Turboprop,Multi Turboprop,Cargo,,,,270,1200,5500,16600,FET applies,Airstair + cargo door,52,58,25.3,4.5,5.9,470,,,,,,,,published typical config — verify per tail
Ameriflight,N31701,Beech 1900,Turboprop,Multi Turboprop,Cargo,,,,270,1200,5500,16600,FET applies,Airstair + cargo door,52,58,25.3,4.5,5.9,470,,,,,,,,published typical config — verify per tail
Ameriflight,N31702,Beech 1900,Turboprop,Multi Turboprop,Cargo,,,,270,1200,5500,16600,FET applies,Airstair + cargo door,52,58,25.3,4.5,5.9,470,,,,,,,,published typical config — verify per tail
Ameriflight,N31703,Beech 1900,Turboprop,Multi Turboprop,Cargo,,,,270,1200,5500,16600,FET applies,Airstair + cargo door,52,58,25.3,4.5,5.9,470,,,,,,,,published typical config — verify per tail
Ameriflight,N31704,Beech 1900,Turboprop,Multi Turboprop,Cargo,,,,270,1200,5500,16600,FET applies,Airstair + cargo door,52,58,25.3,4.5,5.9,470,,,,,,,,published typical config — verify per tail
Ameriflight,N31705,Beech 1900,Turboprop,Multi Turboprop,Cargo,,,,270,1200,5500,16600,FET applies,Airstair + cargo door,52,58,25.3,4.5,5.9,470,,,,,,,,published typical config — verify per tail
Ameriflight,N219KA,SAAB 340,Turboprop,Multi Turboprop,Cargo,,,,250,900,8000,29000,FET applies,Airstair + cargo door,53,63,34.1,7.1,6,1100,,,,,,,,published typical config — verify per tail
Ameriflight,N968AF,SAAB 340,Turboprop,Multi Turboprop,Cargo,,,,250,900,8000,29000,FET applies,Airstair + cargo door,53,63,34.1,7.1,6,1100,,,,,,,,published typical config — verify per tail
Ameriflight,N985ES,SAAB 340,Turboprop,Multi Turboprop,Cargo,,,,250,900,8000,29000,FET applies,Airstair + cargo door,53,63,34.1,7.1,6,1100,,,,,,,,published typical config — verify per tail
Ameriflight,N989AF,SAAB 340,Turboprop,Multi Turboprop,Cargo,,,,250,900,8000,29000,FET applies,Airstair + cargo door,53,63,34.1,7.1,6,1100,,,,,,,,published typical config — verify per tail
Ameriflight,N179CA,Emb. Brasilia,Turboprop,Multi Turboprop,Cargo,,,,290,1000,7700,26433,FET applies,Airstair + cargo door,51,70,30.9,6.9,5.8,950,,,,,,,,published typical config — verify per tail
Ameriflight,N189CA,Emb. Brasilia,Turboprop,Multi Turboprop,Cargo,,,,290,1000,7700,26433,FET applies,Airstair + cargo door,51,70,30.9,6.9,5.8,950,,,,,,,,published typical config — verify per tail
Ameriflight,N246AS,Emb. Brasilia,Turboprop,Multi Turboprop,Cargo,,,,290,1000,7700,26433,FET applies,Airstair + cargo door,51,70,30.9,6.9,5.8,950,,,,,,,,published typical config — verify per tail
Ameriflight,N257AS,Emb. Brasilia,Turboprop,Multi Turboprop,Cargo,,,,290,1000,7700,26433,FET applies,Airstair + cargo door,51,70,30.9,6.9,5.8,950,,,,,,,,published typical config — verify per tail
Ameriflight,N258AS,Emb. Brasilia,Turboprop,Multi Turboprop,Cargo,,,,290,1000,7700,26433,FET applies,Airstair + cargo door,51,70,30.9,6.9,5.8,950,,,,,,,,published typical config — verify per tail
Ameriflight,N266AS,Emb. Brasilia,Turboprop,Multi Turboprop,Cargo,,,,290,1000,7700,26433,FET applies,Airstair + cargo door,51,70,30.9,6.9,5.8,950,,,,,,,,published typical config — verify per tail
Ameriflight,N560SW,Emb. Brasilia,Turboprop,Multi Turboprop,Cargo,,,,290,1000,7700,26433,FET applies,Airstair + cargo door,51,70,30.9,6.9,5.8,950,,,,,,,,published typical config — verify per tail
Ameriflight,N566SW,Emb. Brasilia,Turboprop,Multi Turboprop,Cargo,,,,290,1000,7700,26433,FET applies,Airstair + cargo door,51,70,30.9,6.9,5.8,950,,,,,,,,published typical config — verify per tail
Ameriflight,N567SW,Emb. Brasilia,Turboprop,Multi Turboprop,Cargo,,,,290,1000,7700,26433,FET applies,Airstair + cargo door,51,70,30.9,6.9,5.8,950,,,,,,,,published typical config — verify per tail
Ameriflight,N578SW,Emb. Brasilia,Turboprop,Multi Turboprop,Cargo,,,,290,1000,7700,26433,FET applies,Airstair + cargo door,51,70,30.9,6.9,5.8,950,,,,,,,,published typical config — verify per tail
"Ameristar Jet Charter, Inc.",N148TW,Falcon 20,Midsize Jet (Cargo),Turbine,,8,KYIP,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,10.14,4361,,,,published typical config — verify per tail
"Ameristar Jet Charter, Inc.",N158TW,Falcon 20,Midsize Jet (Cargo),Turbine,,8,KYIP,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,10.14,4361,,,,published typical config — verify per tail
"Ameristar Jet Charter, Inc.",N699TW,Falcon 20,Midsize Jet (Cargo),Turbine,,8,KYIP,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,10.14,4361,,,,published typical config — verify per tail
"Ameristar Jet Charter, Inc.",N204TW,Falcon 20,Midsize Jet (Cargo),Turbine,,8,KYIP,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,10.14,4361,,,,published typical config — verify per tail
"Ameristar Jet Charter, Inc.",N221TW,Falcon 20,Midsize Jet (Cargo),Turbine,,8,KYIP,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,10.14,4361,,,,published typical config — verify per tail
"Ameristar Jet Charter, Inc.",N285TW,Falcon 20,Midsize Jet (Cargo),Turbine,,8,KYIP,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,10.14,4361,,,,published typical config — verify per tail
"Ameristar Jet Charter, Inc.",N314TW,Falcon 20,Midsize Jet (Cargo),Turbine,,8,KYIP,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,10.14,4361,,,,published typical config — verify per tail
Apex Jet,N111WH,Falcon 10,Light Jet,Turbine,,7,KHUM,,400,1800,2500,18740,FET applies,Airstair,26,45,12.9,4.8,4.9,240,,,,,,,,published typical config — verify per tail
Apex Jet,N716AP,King Air 200,Turboprop,Multi Turboprop,,8,KHUM,,270,1700,2500,12500,FET applies,Airstair (cargo door opt.),27,52,16.7,4.5,4.8,303,,,13.32,3596,,,,published typical config — verify per tail
Apex Jet,N388BB,Falcon 50,Super-Mid Jet,Turbine,,9,KHUM,,470,3000,3500,40780,FET applies,Airstair,32,62,23.5,6.1,5.9,700,,,,,,,,published typical config — verify per tail
Apex Jet,N865PC,Falcon 50,Super-Mid Jet,Turbine,,9,KHUM,,470,3000,3500,40780,FET applies,Airstair,32,62,23.5,6.1,5.9,700,,,,,,,,published typical config — verify per tail
Apex Jet,N790A,King Air 90,Turboprop,Multi Turboprop,,6,KHUM,,225,1200,1500,10100,FET applies,Airstair,27,51,12.6,4.5,4.8,220,,,9.13,2053,,,,published typical config — verify per tail
Apex Jet,CE-560-560,Citation XLS,Midsize Jet,Turbine,,8,KHUM,,430,1800,2300,20200,FET applies,Airstair,25,56,18.5,5.5,5.7,460,,,15.55,6687,,,,published typical config — verify per tail
Atlanta Air Charter,N143DE,King Air 200,Turboprop,Multi Turboprop,,8,KRYY,,270,1700,2500,12500,FET applies,Airstair (cargo door opt.),27,52,16.7,4.5,4.8,303,,,13.32,3596,,,,published typical config — verify per tail
Atlanta Air Charter,N383JP,King Air 200,Turboprop,Multi Turboprop,,8,KRYY,,270,1700,2500,12500,FET applies,Airstair (cargo door opt.),27,52,16.7,4.5,4.8,303,,,13.32,3596,,,,published typical config — verify per tail
Atlanta Air Charter,N700NA,King Air 200,Turboprop,Multi Turboprop,,8,KRYY,,270,1700,2500,12500,FET applies,Airstair (cargo door opt.),27,52,16.7,4.5,4.8,303,,,13.32,3596,,,,published typical config — verify per tail
Atlanta Air Charter,N717VA,King Air 200,Turboprop,Multi Turboprop,,8,KRYY,,270,1700,2500,12500,FET applies,Airstair (cargo door opt.),27,52,16.7,4.5,4.8,303,,,13.32,3596,,,,published typical config — verify per tail
AUGUSTA AVIATION INC,N8GU,Beechcraft King Air C90A,Turboprop,Multi Turboprop,,6,KDNL,,225,1200,1500,10100,FET applies,Airstair,27,51,12.6,4.5,4.8,220,,,12.33,2774,,,,published typical config — verify per tail
AUGUSTA AVIATION INC,N329GS,Beechcraft King Air C90A,Turboprop,Multi Turboprop,,6,KDNL,,225,1200,1500,10100,FET applies,Airstair,27,51,12.6,4.5,4.8,220,,,12.33,2774,,,,published typical config — verify per tail
AUGUSTA AVIATION INC,N377P,Beechcraft King Air C90A,Turboprop,Multi Turboprop,,6,KDNL,,225,1200,1500,10100,FET applies,Airstair,27,51,12.6,4.5,4.8,220,,,12.33,2774,,,,published typical config — verify per tail
AUGUSTA AVIATION INC,N891AA,Beechcraft King Air C90A,Turboprop,Multi Turboprop,,6,KDNL,,225,1200,1500,10100,FET applies,Airstair,27,51,12.6,4.5,4.8,220,,,12.33,2774,,,,published typical config — verify per tail
"Avcenter, Inc.",N520DF,Citation CJ1,Light Jet,Turbine,,5,KPIH,,380,1200,1500,10700,FET applies,Airstair,24,51,11,4.8,4.8,200,,,17.89,6799,,,,published typical config — verify per tail
"Avcenter, Inc.",N155AV,King Air 200,Turboprop,Multi Turboprop,,8,KPIH,,270,1700,2500,12500,FET applies,Airstair (cargo door opt.),27,52,16.7,4.5,4.8,303,,,13.32,3596,,,,published typical config — verify per tail
"Avcenter, Inc.",N299AV,King Air 200,Turboprop,Multi Turboprop,,8,KPIH,,270,1700,2500,12500,FET applies,Airstair (cargo door opt.),27,52,16.7,4.5,4.8,303,,,13.32,3596,,,,published typical config — verify per tail
"Avcenter, Inc.",N208AV,Citation XLS,Midsize Jet,Turbine,,8,KPIH,,430,1800,2300,20200,FET applies,Airstair,25,56,18.5,5.5,5.7,460,,,15.55,6687,,,,published typical config — verify per tail
"Avcenter, Inc.",N499AV,Citation XLS,Midsize Jet,Turbine,,8,KPIH,,430,1800,2300,20200,FET applies,Airstair,25,56,18.5,5.5,5.7,460,,,15.55,6687,,,,published typical config — verify per tail
"Avcenter, Inc.",N231AV,Turbo Commander,Turboprop,Multi Turboprop,,7,KPIH,,260,1300,1800,10325,FET applies,Airstair,26,47,14.5,4.3,4.4,200,,,,,,,,published typical config — verify per tail
"Avcenter, Inc.",N721TB,Turbo Commander,Turboprop,Multi Turboprop,,7,KPIH,,260,1300,1800,10325,FET applies,Airstair,26,47,14.5,4.3,4.4,200,,,,,,,,published typical config — verify per tail
Axio,N533CP,SR-22,Piston,Single Piston,,3,KSPA,,175,1000,900,3600,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Two doors,32,41,10.8,4.1,4.2,90,,,8.05,1408,,,,published typical config — verify per tail
Axio,N606MF,SR-22,Piston,Single Piston,,3,KSPA,,175,1000,900,3600,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Two doors,32,41,10.8,4.1,4.2,90,1,8.05,8.05,1408,,,,published typical config — verify per tail
Axio,N369AX,Phenom 100,Light Jet,Turbine,,5,KSPA,,380,1150,1100,10472,FET applies,Airstair,29,57,11,5.1,4.9,212,,,9.58,3639,,,,published typical config — verify per tail
Axio,N283MA,Baron 58,Piston,Multi Piston,,5,KSPA,,190,1050,1100,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Double aft doors,43,36,12.6,3.5,4.2,136,,,6.49,1233,,,,published typical config — verify per tail
Axio,N707PW,Baron 58,Piston,Multi Piston,,5,KSPA,,190,1050,1100,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Double aft doors,43,36,12.6,3.5,4.2,136,,,6.49,1233,,,,published typical config — verify per tail
Axio,N758CA,Baron 58,Piston,Multi Piston,,5,KSPA,,190,1050,1100,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Double aft doors,43,36,12.6,3.5,4.2,136,1,8.16,8.16,1550,,,,published typical config — verify per tail
Axio,N4380W,Baron 58,Piston,Multi Piston,,5,KSPA,,190,1050,1100,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Double aft doors,43,36,12.6,3.5,4.2,136,6,7.49,6.97,1324,,,,published typical config — verify per tail
Axio,N6725T,Baron 58,Piston,Multi Piston,,5,KSPA,,190,1050,1100,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Double aft doors,43,36,12.6,3.5,4.2,136,,,6.49,1233,,,,published typical config — verify per tail
Axio,N789CT,King Air 200,Turboprop,Multi Turboprop,,8,KSPA,,270,1700,2500,12500,FET applies,Airstair (cargo door opt.),27,52,16.7,4.5,4.8,303,,,13.22,3570,,,,published typical config — verify per tail
Axio,N34LT,King Air 200,Turboprop,Multi Turboprop,,8,KSPA,,270,1700,2500,12500,FET applies,Airstair (cargo door opt.),27,52,16.7,4.5,4.8,303,1,12.71,12.71,3431,,,,published typical config — verify per tail
Axio,N989LA,King Air 200,Turboprop,Multi Turboprop,,8,KSPA,,270,1700,2500,12500,FET applies,Airstair (cargo door opt.),27,52,16.7,4.5,4.8,303,2,13.13,13.13,3545,,,,published typical config — verify per tail
Castle Aviation,N49MG,Aerostar,Piston,Multi Piston,,2,KCAK,,215,1100,1100,6000,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Single door,25,37,11,3.9,3.7,110,1,18.97,18.97,4079,,,,published typical config — verify per tail
Castle Aviation,N52MG,Aerostar,Piston,Multi Piston,,2,KCAK,,215,1100,1100,6000,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Single door,25,37,11,3.9,3.7,110,4,5.38,5.4,1161,,,,published typical config — verify per tail
Castle Aviation,N92MG,Aerostar,Piston,Multi Piston,,2,KCAK,,215,1100,1100,6000,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Single door,25,37,11,3.9,3.7,110,,,5.74,1234,,,,published typical config — verify per tail
Castle Aviation,N1058N,Cessna Caravan,Turboprop,Single Turboprop,,9,KCAK,,165,900,3300,8750,FET applies,Cargo door,49,50,16.8,5.2,4.5,340,,,7.71,1272,,,,published typical config — verify per tail
Castle Aviation,N27MG,Cessna Caravan,Turboprop,Single Turboprop,,9,KCAK,,165,900,3300,8750,FET applies,Cargo door,49,50,16.8,5.2,4.5,340,,,7.71,1272,,,,published typical config — verify per tail
Castle Aviation,N805TH,Cessna Caravan,Turboprop,Single Turboprop,,9,KCAK,,165,900,3300,8750,FET applies,Cargo door,49,50,16.8,5.2,4.5,340,,,7.71,1272,,,,published typical config — verify per tail
Castle Aviation,N1086F,Cessna Caravan,Turboprop,Single Turboprop,,9,KCAK,,165,900,3300,8750,FET applies,Cargo door,49,50,16.8,5.2,4.5,340,,,7.71,1272,,,,published typical config — verify per tail
Castle Aviation,N1116W,Cessna Caravan,Turboprop,Single Turboprop,,9,KCAK,,165,900,3300,8750,FET applies,Cargo door,49,50,16.8,5.2,4.5,340,,,7.71,1272,,,,published typical config — verify per tail
Castle Aviation,N9612B,Cessna Caravan,Turboprop,Single Turboprop,,9,KCAK,,165,900,3300,8750,FET applies,Cargo door,49,50,16.8,5.2,4.5,340,,,7.71,1272,,,,published typical config — verify per tail
Castle Aviation,N253AE,SAAB 340,Turboprop,Multi Turboprop,,34,KCAK,,250,900,8000,29000,FET applies,Airstair + cargo door,53,63,34.1,7.1,6,1100,,,,,,,,published typical config — verify per tail
Castle Aviation,N336SA,SAAB 340,Turboprop,Multi Turboprop,,34,KCAK,,250,900,8000,29000,FET applies,Airstair + cargo door,53,63,34.1,7.1,6,1100,,,,,,,,published typical config — verify per tail
Castle Aviation,N431BC,SAAB 340,Turboprop,Multi Turboprop,,34,KCAK,,250,900,8000,29000,FET applies,Airstair + cargo door,53,63,34.1,7.1,6,1100,,,,,,,,published typical config — verify per tail
Clemson Air Charter,N686FR,Baron 58,Piston,Multi Piston,,5,KAND,,190,1050,1100,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Double aft doors,43,36,12.6,3.5,4.2,136,,,6.49,1233,,,,published typical config — verify per tail
Clemson Air Charter,N1065B,Baron 58,Piston,Multi Piston,,5,KAND,,190,1050,1100,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Double aft doors,43,36,12.6,3.5,4.2,136,,,6.49,1233,,,,published typical config — verify per tail
Contrail - Charlie,N443J,Diamond DA-42,Piston,Multi Piston,,3,KABE,,155,1000,900,4407,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Canopy + rear door,34,33,8.5,3.8,3.9,80,1,7.66,7.66,1188,,,,published typical config — verify per tail
Contrail - Charlie,N651WB,TBM 700,Turboprop,Single Turboprop,,5,KABE,,290,1300,1300,6579,FET applies,Pax door,27,45,13.3,4,4.1,123,2,9.98,9.98,2895,,,,published typical config — verify per tail
ENG Aviation,N196JH,CJ3,Light Jet,Turbine,,7,KADS,,415,1800,2000,13870,FET applies,Airstair,24,51,15.7,4.8,4.8,290,,,17.21,6970,,,,published typical config — verify per tail
ENG Aviation,N2KK,Citation XL,Midsize Jet,Turbine,,8,KADS,,430,1800,2300,20200,FET applies,Airstair,25,56,18.5,5.5,5.7,460,,,,,,,,published typical config — verify per tail
ENG Aviation,N100YB,Citation XL,Midsize Jet,Turbine,,8,KADS,,430,1800,2300,20200,FET applies,Airstair,25,56,18.5,5.5,5.7,460,,,,,,,,published typical config — verify per tail
ENG Aviation,N421LT,Citation XL,Midsize Jet,Turbine,,8,KADS,,430,1800,2300,20200,FET applies,Airstair,25,56,18.5,5.5,5.7,460,,,,,,,,published typical config — verify per tail
ENG Aviation,N560SJ,Citation XL,Midsize Jet,Turbine,,8,KADS,,430,1800,2300,20200,FET applies,Airstair,25,56,18.5,5.5,5.7,460,,,,,,,,published typical config — verify per tail
EXECUTIVE SHUTTLE,N643EA,King Air 90,Turboprop,Multi Turboprop,,6,KGRD,,225,1200,1500,10100,FET applies,Airstair,27,51,12.6,4.5,4.8,220,12,8.83,8.32,1873,,,,published typical config — verify per tail
FedAir (Mario),TBD,Cheyenne,Turboprop,Multi Turboprop,,6,KHFY,,240,1300,1800,9000,FET applies,Airstair,26,47,12.9,4.3,4.3,180,1,7.2,15.59,3741,,,,published typical config — verify per tail
FLIGHT CHOICE,N436AT,Baron 58,Piston,Multi Piston,,5,KTYS,,190,1050,1100,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Double aft doors,43,36,12.6,3.5,4.2,136,,,6.49,1233,,,,published typical config — verify per tail
FLIGHT CHOICE,N584PC,Baron 58,Piston,Multi Piston,,5,KTYS,,190,1050,1100,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Double aft doors,43,36,12.6,3.5,4.2,136,,,6.49,1233,,,,published typical config — verify per tail
FLIGHT CHOICE,N6211J,King Air 90,Turboprop,Multi Turboprop,,6,KTYS,,225,1200,1500,10100,FET applies,Airstair,27,51,12.6,4.5,4.8,220,,,9.13,2053,,,,published typical config — verify per tail
FLIGHT CHOICE,N7206E,King Air 90,Turboprop,Multi Turboprop,,6,KTYS,,225,1200,1500,10100,FET applies,Airstair,27,51,12.6,4.5,4.8,220,,,9.13,2053,,,,published typical config — verify per tail
FLIGHT CHOICE,N250XX,King Air 200,Turboprop,Multi Turboprop,,8,KTYS,,270,1700,2500,12500,FET applies,Airstair (cargo door opt.),27,52,16.7,4.5,4.8,303,,,13.32,3596,,,,published typical config — verify per tail
"Gem Air, LLC",N4438,Islander,Piston,Multi Piston,Cargo,,KSLC,,140,700,1900,6600,FET applies,Three doors,45,43,10.1,3.6,4.2,120,,,,,,,,published typical config — verify per tail
"Gem Air, LLC",N6561B,Islander,Piston,Multi Piston,Cargo,,KSLC,,140,700,1900,6600,FET applies,Three doors,45,43,10.1,3.6,4.2,120,,,,,,,,published typical config — verify per tail
"Gem Air, LLC",N801SA,Islander,Piston,Multi Piston,Cargo,,KSLC,,140,700,1900,6600,FET applies,Three doors,45,43,10.1,3.6,4.2,120,,,,,,,,published typical config — verify per tail
"Gem Air, LLC",N802SA,Islander,Piston,Multi Piston,Cargo,,KSLC,,140,700,1900,6600,FET applies,Three doors,45,43,10.1,3.6,4.2,120,,,,,,,,published typical config — verify per tail
"Gem Air, LLC",N8514C,Piper Seneca,Piston,Multi Piston,Cargo,,KSLC,,160,750,1200,4750,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Door + aft cargo,25,41,10.3,4.1,3.9,120,,,10.78,1725,,,,published typical config — verify per tail
"Gem Air, LLC",N84153,C-172,Piston,Single Piston,Cargo,,KSLC,,110,600,750,2450,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Two doors,37,40,8.9,3.3,4,70,,,,,,,,published typical config — verify per tail
"Gem Air, LLC",N376ME,C-206,Piston,Single Piston,Cargo,,KSLC,,140,700,1300,3600,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Cargo double doors,42,42,12.1,3.7,4.1,100,,,,,,,,published typical config — verify per tail
"Gem Air, LLC",N247JP,Cessna Caravan,Turboprop,Single Turboprop,Cargo,,KSLC,,165,900,3300,8750,FET applies,Cargo door,49,50,16.8,5.2,4.5,340,,,7.71,1272,,,,published typical config — verify per tail
"Gem Air, LLC",N585SA,Cessna Caravan,Turboprop,Single Turboprop,Cargo,,KSLC,,165,900,3300,8750,FET applies,Cargo door,49,50,16.8,5.2,4.5,340,,,7.71,1272,,,,published typical config — verify per tail
"Gem Air, LLC",N843SA,Cessna Caravan,Turboprop,Single Turboprop,Cargo,,KSLC,,165,900,3300,8750,FET applies,Cargo door,49,50,16.8,5.2,4.5,340,,,7.71,1272,,,,published typical config — verify per tail
"Gem Air, LLC",N984AC,Cessna Caravan,Turboprop,Single Turboprop,Cargo,,KSLC,,165,900,3300,8750,FET applies,Cargo door,49,50,16.8,5.2,4.5,340,,,7.71,1272,,,,published typical config — verify per tail
Gen 4 Jets,TBD,Citation CJ1,Light Jet,Turbine,,5,M19,,380,1200,1500,10700,FET applies,Airstair,24,51,11,4.8,4.8,200,1,7.2,17.89,6799,,,,published typical config — verify per tail
Gen 4 Jets,TBD,PC-12,Turboprop,Single Turboprop,,8,M19,,270,1800,2600,10450,FET applies,Cargo door + airstair,53,52,16.9,5,4.8,330,1,7.2,,,,,,published typical config — verify per tail
Gen 4 Jets,TBD,CJ3,Light Jet,Turbine,,7,M19,,415,1800,2000,13870,FET applies,Airstair,24,51,15.7,4.8,4.8,290,1,7.2,17.21,6970,,,,published typical config — verify per tail
GTA Air,N1194A,Bonanza,Piston,Single Piston,Cargo,,KADS,,165,800,900,3650,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Single door,37,36,10,3.5,4.2,100,,,4.24,699,,,,published typical config — verify per tail
GTA Air,N75AT,Bonanza,Piston,Single Piston,Cargo,,KADS,,165,800,900,3650,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Single door,37,36,10,3.5,4.2,100,,,4.24,699,,,,published typical config — verify per tail
GTA Air,N236CH,Bonanza,Piston,Single Piston,Cargo,,KADS,,165,800,900,3650,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Single door,37,36,10,3.5,4.2,100,,,4.24,699,,,,published typical config — verify per tail
GTA Air,N361BC,Bonanza,Piston,Single Piston,Cargo,,KADS,,165,800,900,3650,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Single door,37,36,10,3.5,4.2,100,,,4.24,699,,,,published typical config — verify per tail
GTA Air,N6735Z,Bonanza,Piston,Single Piston,Cargo,,KADS,,165,800,900,3650,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Single door,37,36,10,3.5,4.2,100,,,4.24,699,,,,published typical config — verify per tail
GTA Air,N66919,Bonanza,Piston,Single Piston,Cargo,,KADS,,165,800,900,3650,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Single door,37,36,10,3.5,4.2,100,,,4.24,699,,,,published typical config — verify per tail
GTA Air,N140S,Baron 58,Piston,Multi Piston,Cargo,,KADS,,190,1050,1100,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Double aft doors,43,36,12.6,3.5,4.2,136,,,6.49,1233,,,,published typical config — verify per tail
